Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status
efa483c1,Hyundai Ioniq 5,NMC,72.6,51.0,271.0,23.3,0.9,1.0,Moderate,0.013,85.73,Healthy
48b17c24,Tesla Model 3,NMC,75.0,113.0,1715.0,40.52,0.71,,Aggressive,0.067,66.63,
0f7ec773,BYD Atto 3,LFP,60.0,31.0,220.0,,0.34,1.8,Aggressive,0.039,82.99,Healthy
becc273c,Tesla Model 3,NMC,75.0,110.0,1048.0,,,2.18,,0.07,69.84,Unhealthy
7b53050f,Tesla Model 3,,75.0,83.0,748.0,24.3,0.84,0.94,Conservative,0.032,93.43,Healthy
575d4320,BYD Atto 3,LFP,60.0,60.0,1115.0,45.58,0.768,2.11,Aggressive,,,Unhealthy
32c5ef43,Wuling Air EV,LFP,26.0,69.0,522.0,20.0,0.86,1.18,Conservative,0.029,86.81,Healthy
4c0cdd3e,BYD Atto 3,LFP,60.0,100.0,1845.0,42.18,,3.1,Aggressive,0.109,37.54,Unhealthy
30936cd9,Hyundai Ioniq 5,NMC,72.6,73.0,531.0,32.6,0.49,1.1,Aggressive,0.015,,Healthy
f569388d,Ford Mustang Mach-E,NMC,88.0,95.0,960.0,28.0,0.41,1.64,Moderate,,91.35,Healthy
b3e62b29,Wuling Air EV,LFP,26.0,,573.0,25.4,,0.68,Aggressive,0.027,96.34,Healthy
b56169be,Tesla Model 3,NMC,75.0,95.0,1913.0,43.54,0.762,2.26,Aggressive,0.098,43.69,Unhealthy
94a82b3c,hyundai ioniq 5,NMC,72.6,63.0,1559.0,37.13,0.998,3.26,Aggressive,0.098,65.58,Unhealthy
d953c514,Wuling Air EV,LFP,26.0,26.0,356.0,,0.84,1.66,Conservative,0.032,87.54,healthy
3390e728,FORD MUSTANG MACH-E,NMC,88.0,66.0,513.0,26.0,0.4,2.16,Conservative,0.016,,
cbda913c,Wuling Air EV,LFP,26.0,70.0,760.0,21.1,0.61,2.45,Conservative,0.01,84.83,Healthy
fe5b5c42,,NMC,75.0,75.0,,11.0,0.51,1.52,Aggressive,0.022,92.56,Healthy
2c0c2c69,Hyundai Ioniq 5,NMC,72.6,65.0,1555.0,41.04,0.95,3.47,Aggressive,0.053,43.58,Unhealthy
26570513,Hyundai Ioniq 5,NMC,72.6,12.0,150.0,19.6,0.09,0.6,Aggressive,0.027,80.03,Healthy
30e78616,Tesla Model 3,NMC,75.0,75.0,1182.0,48.95,0.919,3.18,Aggressive,0.095,41.88,Unhealthy
2b542e6e,Hyundai Ioniq 5,NMC,,,344.0,34.4,0.61,1.44,Aggressive,0.016,95.69,Healthy
4d039b2c,Ford Mustang Mach-E,NMC,88.0,116.0,,45.18,0.774,3.46,Aggressive,0.089,48.68,Unhealthy
3373cee7,Ford Mustang Mach-E,NMC,88.0,14.0,153.0,23.4,0.1,0.89,Aggressive,0.027,80.55,Healthy
755089fd,Ford Mustang Mach-E,NMC,88.0,118.0,1448.0,41.76,0.856,3.39,Aggressive,0.092,44.54,Unhealthy
ab71422b,BYD Atto 3,LFP,60.0,97.0,1406.0,47.24,0.823,2.93,Aggressive,0.09,60.86,Unhealthy
52275ca5,HYUNDAI IONIQ 5,NMC,72.6,44.0,266.0,29.2,0.17,0.82,,0.022,92.83,Healthy
d39753dc,Ford Mustang Mach-E,NMC,88.0,26.0,353.0,27.9,0.69,2.48,Conservative,0.026,,Healthy
c80804c5,BYD Atto 3,LFP,60.0,91.0,837.0,12.1,0.89,1.98,Conservative,0.022,84.79,Healthy
917f14e3,Ford Mustang Mach-E,NMC,,63.0,1099.0,,0.744,2.09,Aggressive,0.063,37.39,Unhealthy
818c450f,Hyundai Ioniq 5,NMC,72.6,67.0,1156.0,49.97,0.815,2.68,Aggressive,0.051,39.64,Unhealthy
66c0d19c,Wuling Air EV,LFP,26.0,,748.0,18.0,0.84,1.59,Moderate,0.032,88.95,
a87e71d5,Wuling Air EV,LFP,26.0,58.0,450.0,18.1,0.52,1.58,,0.012,,Healthy
6b2b5508,BYD Atto 3,LFP,60.0,24.0,194.0,2.8,0.78,2.42,Aggressive,,83.45,Healthy
bb80f810,,NMC,88.0,103.0,1399.0,42.15,0.845,2.46,Aggressive,0.09,55.18,Unhealthy
bb1b0aa6,BYD Atto 3,LFP,,39.0,576.0,30.3,0.85,,Conservative,0.025,86.01,Healthy
ca6f951f,BYD Atto 3,LFP,60.0,80.0,1167.0,49.2,0.819,2.77,Aggressive,0.089,57.1,Unhealthy
262fb066,BYD Atto 3,LFP,60.0,55.0,647.0,32.0,0.64,1.37,Moderate,0.022,93.1,Healthy
6a5f0b6e,Tesla Model 3,NMC,75.0,29.0,341.0,22.4,0.92,2.01,Moderate,0.024,92.05,Healthy
64e8c026,Tesla Model 3,NMC,75.0,67.0,,37.03,0.734,2.45,,0.054,47.74,Unhealthy
,Wuling Air EV,LFP,,20.0,271.0,33.1,0.2,1.58,,0.038,81.29,Healthy
b3641188,,,72.6,13.0,84.0,45.2,0.83,0.92,,0.041,93.45,Healthy
0b06725f,Tesla Model 3,NMC,75.0,8.0,95.0,20.2,0.64,,Aggressive,0.019,80.95,Healthy
b91e29b4,Wuling Air EV, LFP ,26.0,78.0,799.0,44.5,0.2,0.64,Aggressive,0.039,,Healthy
7c60044e,Ford Mustang Mach-E,NMC,88.0,87.0,522.0,26.5,0.15,1.99,Moderate,0.026,84.68, Healthy 
761a26cf,Wuling Air EV,LFP,26.0,112.0,,46.76,0.722,2.14,Moderate,0.092,67.88,Unhealthy
6830018d,BYD Atto 3,LFP,60.0,,433.0,13.1,,0.52,Moderate,0.02,90.58,Healthy
132E0Cd3,Ford Mustang Mach-E,NMC,88.0,28.0,390.0,34.1,0.78,1.85,Moderate,0.044,84.7,Healthy
b7265206,,NMC,88.0,,,26.1,0.26,2.15,Moderate,0.039,,Healthy
33fbca53,BYD Atto 3,LFP,60.0,2.0,12.0,26.1,0.92,0.81,Conservative,0.045,85.58,Healthy
ea0b0380,BYD Atto 3,LFP,60.0,83.0,469.0,33.0,0.72,1.88,Aggressive,0.016,84.36,Healthy
4cb36de4,BYD Atto 3,LFP,60.0,,722.0,10.0,0.12,0.91,Moderate,0.015,85.01,Healthy
8f84cae1,Wuling Air EV,LFP,26.0,68.0,,36.8,0.2,2.35,Conservative,0.028,96.14,Healthy
63972661,Ford Mustang Mach-E,NMC,88.0,,759.0,27.5,0.52,1.37,Moderate,,91.45,Healthy
b3160ca1,Ford Mustang Mach-E,NMC,88.0,62.0,1647.0,46.78,0.705,2.56,Aggressive,0.061,43.22,Unhealthy
593e0a8d,Ford Mustang Mach-E,NMC,88.0,62.0,1111.0,36.02,,2.06,Aggressive,0.058,47.85,Unhealthy
01107BE8,BYD Atto 3,LFP,60.0,51.0,241.0,17.4,0.18,1.67,Conservative,0.016,93.15,Healthy
a4ffc6df,BYD Atto 3,LFP,60.0,116.0,1748.0,46.45,0.975,2.55,Aggressive,0.119,51.12,UNHEALTHY
c31f0310,BYD Atto 3,LFP,60.0,94.0,1160.0,35.15,0.713,2.26,Aggressive,0.108,44.16,Unhealthy
37f56666,Ford Mustang Mach-E,NMC,,4.0,30.0,10.3,0.69,0.77,Moderate,,,Healthy
,Wuling Air EV,LFP,26.0,81.0,,27.9,0.21,1.57,Aggressive,0.029,96.41,Healthy
dd8eae45,Hyundai Ioniq 5,NMC,72.6,62.0,1983.0,37.95,0.929,3.02,Aggressive,0.067,,Unhealthy
d02549c1,Ford Mustang Mach-E,NMC,88.0,70.0,901.0,-3.1,0.89,1.84,Aggressive,0.024,93.3,Healthy
19c1ed0c,Ford Mustang Mach-E,NMC,88.0,82.0,1323.0,41.03,,2.62,Aggressive,0.051,36.08, Unhealthy 
06f35f2a,Ford Mustang Mach-E,NMC,88.0,73.0,821.0,26.1,0.97,2.25,Moderate,0.031,83.56,Healthy
9f6346a7,Ford Mustang Mach-E,NMC,88.0,89.0,913.0,40.9,0.18,1.24,Conservative,0.032,95.18,Healthy
fe3c7530,Wuling Air EV,LFP,26.0,41.0,527.0,23.5,0.72,1.95,,0.011,83.67,Healthy
48a7438e,Tesla Model 3,,75.0,,947.0,36.9,0.891,2.24,Aggressive,0.082,40.11,Unhealthy
5b20a676,Tesla Model 3,,75.0,58.0,526.0,13.1,0.03,0.79,Moderate,0.045,93.37,Healthy
c7023812,Hyundai Ioniq 5,NMC,72.6,89.0,1751.0,36.09,0.787,2.56,Aggressive,0.06,47.39,unhealthy
,Hyundai Ioniq 5,NMC,72.6,93.0,1012.0,16.8,0.45,1.91,Conservative,0.023,92.34,Healthy
22aa211d,Wuling Air EV,LFP,26.0,,869.0,20.9,,1.72,Moderate,0.012,93.66,Healthy
bf17aca0,Tesla Model 3,NMC,,95.0,1543.0,43.49,0.883,2.93,Moderate,0.107,61.83,Unhealthy
723ed734,Wuling Air EV,LFP,26.0,90.0,845.0,25.7,0.28,0.91,Aggressive,0.04,89.59,Healthy
f3eba7b8,Wuling Air EV,LFP,26.0,66.0,289.0,25.2,,1.74,Moderate,0.045,91.5,Healthy
981c16d8,Tesla Model 3,NMC,75.0,71.0,875.0,47.39,0.933,3.38,Aggressive,0.091,57.45,
,Tesla Model 3,NMC,75.0,80.0,475.0,18.0,0.01,1.19,Aggressive,,97.16,Healthy
a2fa10fd,Wuling Air EV,LFP,26.0,31.0,455.0,11.7,0.27,2.15,Conservative,0.04,81.82, Healthy 
951f804a,Ford Mustang Mach-E,NMC,88.0,64.0,771.0,,0.22,2.17,Moderate,0.032,85.56,Healthy
61db3d8f, Hyundai Ioniq 5 ,NMC,72.6,74.0,996.0,,0.81,1.64,Moderate,0.042,91.0,Healthy
 71ded2d3 ,Ford Mustang Mach-E,NMC,88.0,54.0,443.0,16.2,0.46,1.71,Moderate,0.011,97.35,Healthy
,Hyundai Ioniq 5,,72.6,29.0,162.0,21.4,0.75,0.94,Conservative,0.037,81.72,Healthy
a1a637f2,Wuling Air EV,LFP,26.0,63.0,918.0,19.8,0.33,0.67,Moderate,0.033,80.41,Healthy
27f822fe,Hyundai Ioniq 5,NMC,72.6,82.0,975.0,37.24,0.724,3.29,Aggressive,0.105,57.73,
2fb848a4,Ford Mustang Mach-E,NMC,88.0,82.0,,42.43,0.895,2.63,Moderate,0.109,67.69,Unhealthy
6959f465,Wuling Air EV,LFP,26.0,,242.0,19.7,0.62,1.99,Conservative,0.012,81.0,
5fe5d36c,Wuling Air EV,LFP,26.0,41.0,210.0,23.1,0.24,1.76,Moderate,0.029,80.94,Healthy
7a1f0e68,Hyundai Ioniq 5,NMC,72.6,,1236.0,41.23,0.982,3.31,Aggressive,0.055,67.08,Unhealthy
92377e9d,Wuling Air EV,LFP,26.0,67.0,963.0,42.41,0.937,2.57,Aggressive,0.071,61.98,Unhealthy
70ae2f5e,Wuling Air EV,LFP,26.0,70.0,1784.0,44.39,0.821,2.21,Moderate,0.071,55.46,Unhealthy
fac099e3,Hyundai Ioniq 5,,72.6,11.0,96.0,21.9,0.13,1.02,,0.028,96.34,Healthy
8345cce8,Wuling Air EV,LFP,26.0,23.0,271.0,39.5,0.18,1.69,Moderate,0.034,92.98,Healthy
71aa58a1,Hyundai Ioniq 5,NMC,72.6,87.0,569.0,21.4,0.46,2.18,Moderate,0.013,92.19,Healthy
5cc740d5,Tesla Model 3,,75.0,6.0,48.0,23.2,0.19,2.01,Conservative,0.038,89.41,Healthy
19CEA84B,Wuling Air EV,LFP,26.0,104.0,1853.0,38.22,0.954,2.82,Aggressive,0.117,59.51,Unhealthy
ee9cd9e1,,NMC,88.0,58.0,708.0,27.0,0.22,1.98,,0.015,94.08,Healthy
815d24bf,Ford Mustang Mach-E,NMC,88.0,25.0,284.0,17.4,0.06,2.13,Moderate,0.025,82.8,Healthy
ffa2c09d,BYD Atto 3,LFP,60.0,46.0,648.0,24.7,0.72,1.68,Moderate,0.041,87.05, Healthy 
7a4c02d1,,NMC,88.0,107.0,891.0,35.45,,2.97,Moderate,0.107,58.17,
f6693bf0,Wuling Air EV,LFP,26.0,70.0,436.0,24.9,0.87,2.47,Moderate,0.03,88.82,Healthy
556a81f4,Ford Mustang Mach-E,NMC,88.0,48.0,,,0.58,2.05,,0.023,81.99,
d3d6fd5c,byd atto 3,LFP,60.0,60.0,731.0,25.0,0.27,2.49,Aggressive,0.012,87.55,Healthy
427d7da6,,LFP,60.0,18.0,243.0,13.2,0.75,2.14,Conservative,0.034,,Healthy
, Wuling Air EV ,LFP,26.0,22.0,186.0,21.4,0.21,2.18,Moderate,0.045,80.64,Healthy
4A6D1C25,Wuling Air EV,,26.0,86.0,774.0,21.8,,1.15,Conservative,0.042,82.46,Healthy
eebde000,Hyundai Ioniq 5,NMC,72.6,53.0,534.0,42.6,0.39,2.49,Aggressive,0.035,93.75,Healthy
b6c64679,,LFP,,27.0,362.0,17.0,0.7,1.35,Conservative,0.014,80.32,Healthy
67d9a7af,Wuling Air EV,LFP,26.0,80.0,1092.0,44.0,0.913,2.64,MODERATE,,57.07,Unhealthy
Aa565649,Tesla Model 3,NMC,75.0,96.0,1600.0,47.62,0.747,3.2,Aggressive,0.083,44.23,Unhealthy
23d4bf62,Ford Mustang Mach-E,NMC,,111.0,1303.0,43.34,0.846,3.04,Aggressive,0.062,44.19,Unhealthy
e703bfd2,Ford Mustang Mach-E,NMC,88.0,,1083.0,45.13,0.934,2.4,Aggressive,0.09,42.51,Unhealthy
7d7c64ed,,NMC,72.6,82.0,1197.0,49.44,0.777,2.3,Aggressive,0.053,52.06,Unhealthy
 62a6d331 ,Hyundai Ioniq 5,NMC,72.6,31.0,330.0,22.9,,2.49,Moderate,0.018,96.82,Healthy
547c9d63,BYD Atto 3,lfp,60.0,3.0,33.0,15.2,0.66,0.75,Moderate,,81.56,Healthy
6f38269b,BYD Atto 3,LFP,60.0,79.0,1834.0,46.12,0.852,3.35,Aggressive,0.118,41.29,Unhealthy
8bd59d23,Ford Mustang Mach-E,NMC,88.0,,1612.0,49.81,0.935,3.02, Aggressive ,0.092,39.35,Unhealthy
a714ae41,Wuling Air EV,LFP,26.0,12.0,49.0,11.9,0.54,2.01,Conservative,,94.39,Healthy
,,NMC,88.0,71.0,370.0,28.1,0.15,1.32,Moderate,0.018,96.18,Healthy
727fd1d2,Wuling Air EV,LFP,26.0,84.0,887.0,19.5,0.03,1.83,Moderate,0.019,96.94,Healthy
81539382,,NMC,,86.0,1020.0,48.35,,2.54,Aggressive,0.079,,Unhealthy
f299bdc1, Hyundai Ioniq 5 ,Nmc,72.6,96.0,1122.0,34.7,0.34,2.37,Conservative,0.032,95.61,Healthy
0490765a,Hyundai Ioniq 5,NMC,72.6,88.0,1383.0,38.68,0.731,2.95,Moderate,0.092,56.04,Unhealthy
8d52463d,BYD Atto 3,LFP,60.0,87.0,841.0,42.81,0.889,2.59,AGGRESSIVE,0.081,63.22,Unhealthy
725608b9,,NMC,88.0,1.0,,31.8,0.57,0.63,Conservative,0.021,85.18,Healthy
85b08ff7,Hyundai Ioniq 5,NMC,,86.0,1567.0,39.72,0.804,2.2,Moderate,0.052,56.38,Unhealthy
1b04565c,BYD Atto 3,LFP,60.0,51.0,544.0,42.4,0.48,0.6,Conservative,0.034,86.0,Healthy
caaf1c60,BYD Atto 3,LFP,60.0,91.0,1738.0,43.32,0.705,2.82,Aggressive,0.079,45.24,Unhealthy
dc2c933f,BYD Atto 3,Lfp,60.0,107.0,1789.0,38.57,0.911,2.92,Moderate,0.086,58.62,Unhealthy
53df651b,Ford Mustang Mach-E,NMC,88.0,80.0,1502.0,47.64,0.93,3.47,Aggressive,0.051,43.88,Unhealthy
03895da4,Hyundai Ioniq 5,NMC,72.6,102.0,1533.0,45.53,0.894,2.64,Moderate,0.054,51.05,Unhealthy
ee99978a,Ford Mustang Mach-E,,88.0,37.0,342.0,,0.43,0.87,Moderate,0.043,87.68,Healthy
98690666,Tesla Model 3,NMC,75.0,83.0,809.0,45.45,0.737,2.05,Aggressive,0.1,41.66,Unhealthy
 a27f30a5 ,Ford Mustang Mach-E,NMC,88.0,81.0,1679.0,37.99,0.797,3.38,Aggressive,0.09,43.95,Unhealthy
,BYD Atto 3,LFP,60.0,68.0,1327.0,36.38,0.708,3.09,Moderate,0.115,69.85,Unhealthy
d273419b,Ford Mustang Mach-E,Nmc,88.0,63.0,1858.0,,0.943,3.38,Aggressive,0.059,60.15,Unhealthy
8b0b0d00,Ford Mustang Mach-E,NMC,88.0,46.0,,,0.26,1.71,Conservative,0.032,82.51,Healthy
0ea60942,Tesla Model 3,,75.0,29.0,,17.4,0.3,2.27,Moderate,0.036,80.4,Healthy
9e3fd6a2,Wuling Air EV,LFP,26.0,,256.0,21.1,0.04,,Conservative,0.036,95.64,Healthy
9018d185,BYD Atto 3,LFP,60.0,71.0,1600.0,40.81,0.802,2.83,Aggressive,0.084,50.48,Unhealthy
319b5153,Hyundai Ioniq 5,NMC,72.6,49.0,471.0,21.2,0.51,,Aggressive,0.022,89.97,Healthy
bffbb8fe,Ford Mustang Mach-E,NMC,88.0,11.0,94.0,,0.31,0.74,Moderate,0.011,90.96,Healthy
beaacb1f,Wuling Air EV,LFP,26.0,75.0,383.0,,0.24,1.33,Moderate,0.012,96.69,Healthy
fedba856,Ford Mustang Mach-E,NMC,88.0,95.0,1401.0,40.34,0.714,2.5,Aggressive,0.075,36.39,Unhealthy
c7e829af,Tesla Model 3,NMC,75.0,22.0,195.0,31.6,,2.12,Conservative,0.02,91.97,Healthy
2d351918,Ford Mustang Mach-E,NMC,88.0,109.0,913.0,35.69,0.918,2.89,Aggressive,,60.82,Unhealthy
a94d574f,Hyundai Ioniq 5,NMC,72.6,61.0,901.0,48.17,0.721,2.59,Moderate,0.117,67.41,Unhealthy
eeb222b6,Ford Mustang Mach-E,NMC,88.0,6.0,35.0,36.5,0.74,0.67,Moderate,0.034,92.44, Healthy 
ae919cef,Tesla Model 3,NMC,75.0,72.0,1913.0,40.59,0.979,3.43,Aggressive,0.086,37.51,Unhealthy
7a30217b,BYD Atto 3,LFP,,71.0,820.0,29.8,0.8,1.89,Moderate,0.042,94.17,Healthy
13475ed0,Hyundai Ioniq 5,NMC,72.6,113.0,1003.0,49.32,0.795,2.62,Moderate,0.094,65.45,
51cdf1b4,Hyundai Ioniq 5,NMC,72.6,,939.0,45.0,0.74,,Aggressive,0.075,35.05,
403a9f08,Hyundai Ioniq 5,NMC,,,266.0,22.7,0.03,0.53,Moderate,,82.09,Healthy
f6156fb4,BYD Atto 3,LFP,,68.0,1660.0,45.04,0.81,3.49,Aggressive,0.113,42.66,
06b71dfc,BYD Atto 3,LFP,60.0,,94.0,,0.94,1.85,Aggressive,,86.48,Healthy
80066a14,Ford Mustang Mach-E,NMC,88.0,87.0,1036.0,47.08,,2.95,Aggressive,,49.82,Unhealthy
7b4b640c,,NMC,72.6,87.0,837.0,17.6,,2.4,Conservative,0.045,97.43,Healthy
aca70052,Tesla Model 3,NMC,75.0,53.0,533.0,16.8,0.51,1.55,Moderate,0.021,96.61,Healthy
2830e20e,Tesla Model 3,NMC,75.0,96.0,835.0,37.1,0.844,2.83,Moderate,0.104,64.02,
3bea8614,Ford Mustang Mach-E,NMC,88.0,41.0,193.0,,0.2,0.78,Moderate,0.04,,Healthy
4879c30b,Hyundai Ioniq 5,NMC,,65.0,,24.0,0.83,1.38,Conservative,0.016,88.14,Healthy
ac184c43,Tesla Model 3,NMC,75.0,17.0,129.0,24.2,0.07,0.84,,0.012,95.43,Healthy
c090e1d5,Hyundai Ioniq 5,NMC,72.6,77.0,708.0,27.1,0.81,1.78,Conservative,0.023,80.87,Healthy
2c35f8b0,Tesla Model 3,NMC,75.0,14.0,192.0,20.7,0.71,0.78,Conservative,0.04,82.67,Healthy
a089d155,Ford Mustang Mach-E,NMC,88.0,24.0,270.0,13.7,0.35,0.81,Moderate,0.018,87.45,Healthy
033ad114,Wuling Air EV,LFP,26.0,60.0,1652.0,43.84,,2.29,Aggressive,0.101,52.79,Unhealthy
32a52c0b,Wuling Air EV,,26.0,80.0,1002.0,39.69,0.902,2.1,Moderate,,63.15,Unhealthy
bfe2c3e6,Ford Mustang Mach-E,NMC,88.0,84.0,1006.0,49.46,0.991,3.43,Moderate,0.055,65.33,Unhealthy
da5db7ee,BYD Atto 3,LFP,60.0,89.0,999.0,48.65,0.97,2.95,Aggressive,0.088,61.45,
ba13ca3e,Ford Mustang Mach-E,NMC,88.0,64.0,1815.0,47.33,0.701,3.37,Moderate,0.072,67.85,Unhealthy
f2372aa4,Ford Mustang Mach-E,NMC,88.0,30.0,276.0,31.3,0.36,,Aggressive,0.015,88.7,Healthy
d26e6325,Tesla Model 3,NMC,75.0,46.0,524.0,24.5,0.42,1.97,,0.042,84.74,Healthy
,Ford Mustang Mach-E,NMC,88.0,38.0,209.0,28.2,,1.4,Aggressive,0.043,86.42,Healthy
ef9e7782,ford mustang mach-e,NMC,88.0,77.0,,23.3,0.62,1.75,Moderate,0.01,82.93,Healthy
ea1d77f7,Hyundai Ioniq 5,NMC,72.6,68.0,1429.0,38.91,0.708,2.01,Aggressive,0.109,44.8,Unhealthy
7572ef3f,Wuling Air EV,LFP,26.0,12.0,108.0,19.8,0.47,0.64,Moderate,0.035,88.8,Healthy
8bd08c3a,Hyundai Ioniq 5,NMC,72.6,,1998.0,47.24,0.991,2.32,Aggressive,0.103,55.54,Unhealthy
b4ecfabf,Wuling Air EV,LFP,26.0,26.0,162.0,23.4,0.58,1.28,Aggressive,0.021,94.29,Healthy
6fdcb633,Ford Mustang Mach-E,NMC,88.0,115.0,1873.0,45.41,0.803,2.27,Aggressive,0.083,49.48,Unhealthy
df875dd6,Hyundai Ioniq 5,NMC,72.6,76.0,1466.0,49.92,,2.22,Moderate,0.089,54.84,
1ddd64f3,Tesla Model 3,NMC,75.0,41.0,,23.7,0.35,1.0,Aggressive,0.023,91.9, Healthy 
6a9da820,BYD Atto 3,LFP,60.0,74.0,771.0,31.2,0.08,0.9,Aggressive,0.026,81.94,Healthy
fb989b9f,Hyundai Ioniq 5,NMC,72.6,61.0,595.0,28.3,0.96,0.99,,0.025,88.78,HEALTHY
597e5102,Wuling Air EV,LFP,26.0,43.0,390.0,15.4,0.91,2.45,,0.028,92.56,Healthy
75a5edc7,Hyundai Ioniq 5,NMC,72.6,110.0,1682.0,49.64,0.999,2.64,Moderate,0.09,67.39,Unhealthy
9d4534e0,Wuling Air EV,LFP,26.0,92.0,964.0,49.31,0.846,,Aggressive,0.059,35.1,Unhealthy
b5e8d12c,Ford Mustang Mach-E,NMC,88.0,54.0,329.0,24.0,0.72,0.65,Moderate,0.03,89.54,Healthy
f392607e,Hyundai Ioniq 5,NMC,72.6,47.0,565.0,,,2.15,Aggressive,0.026,87.05,Healthy
2615f4ff,Hyundai Ioniq 5,NMC,72.6,21.0,231.0,15.8,0.84,1.18,Aggressive,0.035,91.19,Healthy
03e12e28, Hyundai Ioniq 5 ,,72.6,56.0,806.0,23.2,0.31,1.75,Conservative,,97.44,Healthy
f8bce022,Wuling Air EV,LFP,26.0,91.0,1787.0,36.35,0.892,2.3,Moderate,0.092,62.51,Unhealthy
3a6b3fc0,BYD Atto 3,LFP,60.0,77.0,845.0,33.3,0.17,1.62,Aggressive,0.025,81.71,Healthy
1482e31d,Tesla Model 3,NMC,75.0,101.0,1119.0,44.32,0.962,2.15,Aggressive,0.053,,Unhealthy
22601a21,Hyundai Ioniq 5,NMC,72.6,7.0,47.0,31.5,0.37,2.16,Moderate,0.015,87.02,
bafcfe50,BYD Atto 3,LFP,,56.0,746.0,18.8,0.29,1.04,Moderate,0.032,87.32,Healthy
5edc94c8,BYD Atto 3,LFP,60.0,8.0,109.0,27.7,0.22,1.28,Moderate,0.037,90.39,Healthy
ee918ecd,Tesla Model 3,NMC,75.0,88.0,577.0,27.3,0.26,1.79,Moderate,0.032,82.74,
45a64798,Wuling Air EV,LFP,26.0,39.0,207.0,27.1,0.44,1.7,,0.031,83.18,Healthy
0e808306,BYD Atto 3,LFP,60.0,61.0,646.0,19.9,0.88,1.2,moderate,0.018,85.14,Healthy
8531a1ca,Hyundai Ioniq 5,,72.6,62.0,702.0,25.7,0.48,1.25,,,97.21,Healthy
3304177b,Ford Mustang Mach-E,NMC,88.0,63.0,1340.0,35.96,0.905,2.99,Aggressive,0.063,50.03,Unhealthy
da5a6cfc,Ford Mustang Mach-E,,88.0,88.0,1071.0,20.3,0.26,2.5,Moderate,0.022,93.21,Healthy
2304ade7,,LFP,26.0,65.0,1157.0,45.76,,2.61,Aggressive,0.104,57.06,Unhealthy
df9d6cb1,Hyundai Ioniq 5,NMC,72.6,30.0,357.0,29.3,,1.91,Moderate,0.042,91.91,Healthy
628e108e,Ford Mustang Mach-E,NMC,88.0,53.0,652.0,30.9,0.8,,Moderate,0.033,94.71,Healthy
8a6f7c23,Tesla Model 3,NMC,75.0,40.0,185.0,45.8,0.38,0.88,Moderate,0.02,,
566c516d,BYD Atto 3,LFP,60.0,67.0,622.0,,0.04,0.9,Conservative,0.027,95.47,Healthy
70e07bdf,,NMC,88.0,31.0,225.0,35.4,0.94,1.63,Moderate,0.04,90.71,Healthy
03da1c70,Tesla Model 3,NMC,75.0,20.0,131.0,14.9,0.37,0.95,Aggressive,0.022,86.04,Healthy
7d8ec79c,BYD Atto 3,LFP,60.0,60.0,1343.0,39.32,,2.49,,0.077,39.9,Unhealthy
fff22f58,Hyundai Ioniq 5,NMC,72.6,12.0,99.0,8.8,0.25,1.32,Conservative,0.028,94.69,Healthy
cd82ef15,Hyundai Ioniq 5,NMC,72.6,113.0,1187.0,45.15,,2.73,Moderate,0.105,67.16,Unhealthy
cc103aa3,Hyundai Ioniq 5,NMC,72.6,27.0,164.0,19.6,0.5,,Moderate,0.034,94.45,Healthy
,Hyundai Ioniq 5,NMC,72.6,78.0,1622.0,46.61,0.853,3.37,Aggressive,0.116,50.55,Unhealthy
8a311f52,BYD Atto 3,LFP,60.0,97.0,1691.0,44.59,0.975,2.1,Moderate,0.052,50.06,Unhealthy
d1a3d7bd,Hyundai Ioniq 5,NMC,,83.0,1342.0,36.01,0.827,2.3,Aggressive,0.095,44.83,Unhealthy
29396bcf,Hyundai Ioniq 5, NMC ,72.6,66.0,1333.0,43.45,,2.34,Aggressive,,43.13,Unhealthy
0e9474b4,Ford Mustang Mach-E,NMC,88.0,27.0,,27.6,0.19,2.37,Moderate,0.036,95.22,Healthy
206d0c33,Wuling Air EV,LFP,26.0,78.0,990.0,13.6,0.58,1.48,Conservative,0.016,82.08,Healthy
f8d926eb,Hyundai Ioniq 5,,72.6,1.0,4.0,20.4,0.61,1.03,Aggressive,0.03,97.45,Healthy
d9565838,Wuling Air EV,LFP,,8.0,,,0.24,1.79,Moderate,0.042,97.27,Healthy
e764d634,Hyundai Ioniq 5,NMC,72.6,41.0,279.0,8.8,0.79,1.12,Moderate,0.044,86.43,Healthy
8605a1cc,,NMC,88.0,117.0,931.0,40.75,,2.98,Moderate,0.074,55.63,Unhealthy
894ebf52,Hyundai Ioniq 5,NMC,72.6,6.0,62.0,21.2,0.4,0.5,Moderate,,81.19,Healthy
6c9f667e,Wuling Air EV,LFP,26.0,83.0,1788.0,42.17,,3.0,Aggressive,0.051,45.83,Unhealthy
94ad90d5,Hyundai Ioniq 5,NMC,72.6,89.0,750.0,27.7,0.41,0.67,Moderate,0.044,83.01,Healthy
68D75210,Hyundai Ioniq 5,NMC,72.6,72.0,986.0,49.21,0.798,2.13,Moderate,0.082,68.28,
B96517C6,Wuling Air EV,LFP,26.0,84.0,454.0,25.7,0.14,1.49,Conservative,0.03,97.87,HEALTHY
